Parent ID,parentSKU,Product ID,SKU,name,Post Title,slug,Permalink,Product URI,description,Product Published,Product Modified,class,Visibility,Featured,Virtual,Downloadable,price,salePrice,Sale Price Dates From,Sale Price Dates To,Weight,Weight Unit,Height,Height Unit,Width,Width Unit,Length,Length Unit,attr.productType,Category: Level 1,Category: Level 2,Category: Level 3,Tag,featuredImage,thumbnail,Featured Image (Embed),Featured Image Title,Featured Image Caption,Featured Image Alternative Text,Featured Image Description,images,Product Gallery Thumbnail,Product Gallery (Embed),Tax Status,Tax Class,Shipping Class,Download File Name,Download File URL Path,Download Limit,Download Expiry,Download Type,Manage Stock,stockQuantity,Stock Status,Allow Backorders,Sold Individually,Total sales,Up-Sells,Cross-Sells,External URL,Button Text,Purchase Note,Product Status,Enable Reviews,Review Count,Rating Count,Average Rating,Sort Order,Disc Type,Attribute: Color,Attribute: Plastic,Attribute: Rim Color,Attribute: Scaled Weight,Attribute: Stability,Attribute: Fade,Attribute: Glide,Attribute: Inbounds id,Attribute: Speed,Attribute: Total sales,Attribute: Turn,Default Attributes,WordPress SEO - Focus Keyword,WordPress SEO - Meta Description,WordPress SEO - SEO Title,WordPress SEO - Noindex,WordPress SEO - Follow,WordPress SEO - Google+ Description,WordPress SEO - Facebook Title,WordPress SEO - Facebook Description,WordPress SEO - Facebook Image,WordPress SEO - Twitter Title,WordPress SEO - Twitter Description,WordPress SEO - Twitter Image,Brands,Fade,Glide,Inbounds id,Speed,Turn
59,AXIS,346,AXIS_NEUTRON_1770,"Axis - Color: blue, Rim Color: black, Plastic: neutron, Scaled Weight: 177-0g",Variation #346 of Axis,product-59-variation-3,,https://hyzershop.com/product/mvp-axis/?attribute_pa_color=blue&attribute_pa_rim-color=black&attribute_pa_plastic=neutron&attribute_pa_scaled-weight=177-0g,,15/02/2016,25/02/2016,Variation,,No,No,No,15,,,,,,,,,,,,Discs|Recommended for Bag|Recommended for Cart,,,,,https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17701.png,https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17701-150x150.png,,mvp-axis-neutron-1770[1],,,,,,,,,,,,,,Standard,Yes,1,In Stock,No,No,,,,,,,Publish,Closed,,,,1,,Blue,Neutron,Black,177.0g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
59,AXIS,357,AXIS_PROTON_1769,"Axis - Color: neon-green, Rim Color: black, Plastic: proton, Scaled Weight: 176-9g",Variation #357 of Axis,product-59-variation-4,,https://hyzershop.com/product/mvp-axis/?attribute_pa_color=neon-green&attribute_pa_rim-color=black&attribute_pa_plastic=proton&attribute_pa_scaled-weight=176-9g,,15/02/2016,25/02/2016,Variation,,No,No,No,14,,,,,,,,,,,,Discs|Recommended for Bag|Recommended for Cart,,,,,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17691.png,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17691-150x150.png,,mvp-axis-proton-1769[1],,,,,,,,,,,,,,Standard,Yes,1,In Stock,No,No,,,,,,,Publish,Closed,,,,1,,Neon Green,Proton,Black,176.9g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
59,AXIS,358,AXIS_PROTON_1775,"Axis - Color: pink, Rim Color: black, Plastic: proton, Scaled Weight: 177-5g",Variation #358 of Axis,product-59-variation-5,,https://hyzershop.com/product/mvp-axis/?attribute_pa_color=pink&attribute_pa_rim-color=black&attribute_pa_plastic=proton&attribute_pa_scaled-weight=177-5g,,15/02/2016,25/02/2016,Variation,,No,No,No,14,,,,,,,,,,,,Discs|Recommended for Bag|Recommended for Cart,,,,,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17751.png,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17751-150x150.png,,mvp-axis-proton-1775[1],,,,,,,,,,,,,,Standard,Yes,0,Out of Stock,No,No,,,,,,,Publish,Closed,,,,1,,Pink,Proton,Black,177.5g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
59,AXIS,359,AXIS_NEUTRON_1796,"Axis - Color: white, Rim Color: black, Plastic: neutron, Scaled Weight: 179-6g",Variation #359 of Axis,product-59-variation-6,,https://hyzershop.com/product/mvp-axis/?attribute_pa_color=white&attribute_pa_rim-color=black&attribute_pa_plastic=neutron&attribute_pa_scaled-weight=179-6g,,15/02/2016,25/02/2016,Variation,,No,No,No,15,,,,,,,,,,,,Discs|Recommended for Bag|Recommended for Cart,,,,,https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17961.png,https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17961-150x150.png,,mvp-axis-neutron-1796[1],,,,,,,,,,,,,,Standard,Yes,1,In Stock,No,No,,,,,,,Publish,Closed,,,,1,,White,Neutron,Black,179.6g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
,,77,VOLT,Volt,Volt,mvp-volt,https://hyzershop.com/product/mvp-volt/,https://hyzershop.com/product/mvp-volt/,"<strong>Manufacturer's Description:Â </strong>The Voltâ€™s defining flight characteristics include a subtle turn and a reliable fade.Â For average throwers and tailwinds, the Volt will resist turn. High-power throws and headwinds will activate the small turnover phase of flight, gaining distance and lateral movement.Â The Voltâ€™s fade is designed to terminate turnovers in a flat landing or better, and to range those straight gut shots at which the Volt excels.Â With its workable stability and power-responsive flight, the Volt is most playersâ€™ best option for their core long driver.",20/01/2016,21/02/2016,Variable,Catalog & Search,No,No,No,14.00-17.00,14.00-17.00,,,,,,,,,,,Discs,,,,,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321.png,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321-150x150.png,,mvp-volt-proton-1732[1],,,,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17501.png|https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321.png|https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17501.png|https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17011.png|https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17561.png|https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17491.png|https://hyzershop.com/wp-content/uploads/mvp-volt-fission-14961.png|https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17531.png|https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17371.png|https://hyzershop.com/wp-content/uploads/mvp-volt-fission-1601.png,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17501-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17501-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17011-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17561-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17491-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-fission-14961-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17531-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17371-150x150.png|https://hyzershop.com/wp-content/uploads/mvp-volt-fission-1601-150x150.png,,,,,,,,,Standard,No,9,In Stock,No,No,1,,,,,,Publish,Open,0,0,0,0,Fairway Drivers,Blue|Light Blue|Light Purple|Neon Green|Orange|Orange Sparkle|Pink|Purple|Red,Eclipse Proton|Fission|Neutron|Plasma|Proton,Black|White,149.6g|160.1g|170.1g|173.2g|173.7g|174.9g|175.0g|175.3g|175.6g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,2,5,8675309,8,0
77,VOLT,389,VOLT_PLASMA_1750,"Volt - Color: blue, Plastic: plasma, Rim Color: black, Scaled Weight: 175-0g",Variation #389 of Volt,product-77-variation,,https://hyzershop.com/product/mvp-volt/?attribute_pa_color=blue&attribute_pa_plastic=plasma&attribute_pa_rim-color=black&attribute_pa_scaled-weight=175-0g,,15/02/2016,25/02/2016,Variation,,No,No,No,16,,,,,,,,,,,,Discs,,,,,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17501.png,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17501-150x150.png,,mvp-volt-plasma-1750[1],,,,,,,,,,,,,,Standard,Yes,1,In Stock,No,No,,,,,,,Publish,Closed,,,,1,,Blue,Plasma,Black,175.0g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
77,VOLT,390,VOLT_PLASMA_1701,"Volt - Color: light-blue, Plastic: plasma, Rim Color: black, Scaled Weight: 170-1g",Variation #390 of Volt,product-77-variation-2,,https://hyzershop.com/product/mvp-volt/?attribute_pa_color=light-blue&attribute_pa_plastic=plasma&attribute_pa_rim-color=black&attribute_pa_scaled-weight=170-1g,,15/02/2016,25/02/2016,Variation,,No,No,No,16,,,,,,,,,,,,Discs,,,,,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17011.png,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17011-150x150.png,,mvp-volt-plasma-1701[1],,,,,,,,,,,,,,Standard,Yes,1,In Stock,No,No,,,,,,,Publish,Closed,,,,1,,Light Blue,Plasma,Black,170.1g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
77,VOLT,391,VOLT_FISSION_1496,"Volt - Color: orange, Plastic: fission, Rim Color: black, Scaled Weight: 149-6g",Variation #391 of Volt,product-77-variation-3,,https://hyzershop.com/product/mvp-volt/?attribute_pa_color=orange&attribute_pa_plastic=fission&attribute_pa_rim-color=black&attribute_pa_scaled-weight=149-6g,,15/02/2016,25/02/2016,Variation,,No,No,No,17,,,,,,,,,,,,Discs,,,,,https://hyzershop.com/wp-content/uploads/mvp-volt-fission-14961.png,https://hyzershop.com/wp-content/uploads/mvp-volt-fission-14961-150x150.png,,mvp-volt-fission-1496[1],,,,,,,,,,,,,,Standard,Yes,0,Out of Stock,No,No,,,,,,,Publish,Closed,,,,1,,Orange,Fission,Black,149.6g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
77,VOLT,392,VOLT_ECLIPSE_1753,"Volt - Color: light-purple, Plastic: eclipse-proton, Rim Color: white, Scaled Weight: 175-3g",Variation #392 of Volt,product-77-variation-4,,https://hyzershop.com/product/mvp-volt/?attribute_pa_color=light-purple&attribute_pa_plastic=eclipse-proton&attribute_pa_rim-color=white&attribute_pa_scaled-weight=175-3g,,15/02/2016,25/02/2016,Variation,,No,No,No,17,,,,,,,,,,,,Discs,,,,,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17531.png,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17531-150x150.png,,mvp-volt-eclipse-1753[1],,,,,,,,,,,,,,Standard,Yes,1,In Stock,No,No,,,,,,,Publish,Closed,,,,1,,Light Purple,Eclipse Proton,White,175.3g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
77,VOLT,393,VOLT_ECLIPSE_1737,"Volt - Color: orange-sparkle, Plastic: eclipse-proton, Rim Color: white, Scaled Weight: 173-7g",Variation #393 of Volt,product-77-variation-5,,https://hyzershop.com/product/mvp-volt/?attribute_pa_color=orange-sparkle&attribute_pa_plastic=eclipse-proton&attribute_pa_rim-color=white&attribute_pa_scaled-weight=173-7g,,15/02/2016,25/02/2016,Variation,,No,No,No,17,,,,,,,,,,,,Discs,,,,,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17371.png,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17371-150x150.png,,mvp-volt-eclipse-1737[1],,,,,,,,,,,,,,Standard,Yes,1,In Stock,No,No,,,,,,,Publish,Closed,,,,1,,Orange Sparkle,Eclipse Proton,White,173.7g,,,,,,,,,,,,,,,,,,,,,MVP Disc Sports,,,,,
