parentSKU,SKU,name,slug,description,class,price,salePrice,taxonomies.productType,featuredImage,thumbnail,images,stockQuantity,totalSales,taxonomies.disc-type,attributes.color,attributes.plastic,attributes.rimColor,netWeight,taxonomies.brand,attributes.fade,attributes.glide,attributes.inboundsId,attributes.speed,attributes.turn
AXIS,AXIS_PROTON_1769,"Axis - Color: neon-green, Rim Color: black, Plastic: proton, Scaled Weight: 176-9g",product-59-variation-4,,Variation,14,,Discs|Recommended for Bag|Recommended for Cart,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17691.png,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17691-150x150.png,,1,,,Neon Green,Proton,Black,176.9g,MVP Disc Sports,,,,,
AXIS,AXIS_PROTON_1775,"Axis - Color: pink, Rim Color: black, Plastic: proton, Scaled Weight: 177-5g",product-59-variation-5,,Variation,14,,Discs|Recommended for Bag|Recommended for Cart,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17751.png,https://hyzershop.com/wp-content/uploads/mvp-axis-proton-17751-150x150.png,,0,,,Pink,Proton,Black,177.5g,MVP Disc Sports,,,,,
AXIS,AXIS_NEUTRON_1796,"Axis - Color: white, Rim Color: black, Plastic: neutron, Scaled Weight: 179-6g",product-59-variation-6,,Variation,15,,Discs|Recommended for Bag|Recommended for Cart,https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17961.png,https://hyzershop.com/wp-content/uploads/mvp-axis-neutron-17961-150x150.png,,1,,,White,Neutron,Black,179.6g,MVP Disc Sports,,,,,
,VOLT,Volt,mvp-volt,"<strong>Manufacturer's Description:Î¾</strong>The VoltŠ—Ès defining flight characteristics include a subtle turn and a reliable fade.Î¾For average throwers and tailwinds, the Volt will resist turn. High-power throws and headwinds will activate the small turnover phase of flight, gaining distance and lateral movement.Î¾The VoltŠ—Ès fade is designed to terminate turnovers in a flat landing or better, and to range those straight gut shots at which the Volt excels.Î¾With its workable stability and power-responsive flight, the Volt is most playersŠ—È best option for their core long driver.",Variable,14.00-17.00,14.00-17.00,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321.png,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321-150x150.png,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17501.png|https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321.png|https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17501.png|https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17011.png|https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17561.png|https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17491.png|https://hyzershop.com/wp-content/uploads/mvp-volt-fission-14961.png|https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17531.png|https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17371.png|https://hyzershop.com/wp-content/uploads/mvp-volt-fission-1601.png,9,1,Fairway Drivers,Blue|Light Blue|Light Purple|Neon Green|Orange|Orange Sparkle|Pink|Purple|Red,Eclipse Proton|Fission|Neutron|Plasma|Proton,Black|White,149.6g|160.1g|170.1g|173.2g|173.7g|174.9g|175.0g|175.3g|175.6g,MVP Disc Sports,2,5,8675309,8,0
VOLT,VOLT_PLASMA_1750,"Volt - Color: blue, Plastic: plasma, Rim Color: black, Scaled Weight: 175-0g",product-77-variation,,Variation,16,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17501.png,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17501-150x150.png,,1,,,Blue,Plasma,Black,175.0g,MVP Disc Sports,,,,,
VOLT,VOLT_PLASMA_1701,"Volt - Color: light-blue, Plastic: plasma, Rim Color: black, Scaled Weight: 170-1g",product-77-variation-2,,Variation,16,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17011.png,https://hyzershop.com/wp-content/uploads/mvp-volt-plasma-17011-150x150.png,,1,,,Light Blue,Plasma,Black,170.1g,MVP Disc Sports,,,,,
VOLT,VOLT_FISSION_1496,"Volt - Color: orange, Plastic: fission, Rim Color: black, Scaled Weight: 149-6g",product-77-variation-3,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-fission-14961.png,https://hyzershop.com/wp-content/uploads/mvp-volt-fission-14961-150x150.png,,0,,,Orange,Fission,Black,149.6g,MVP Disc Sports,,,,,
VOLT,VOLT_ECLIPSE_1753,"Volt - Color: light-purple, Plastic: eclipse-proton, Rim Color: white, Scaled Weight: 175-3g",product-77-variation-4,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17531.png,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17531-150x150.png,,1,,,Light Purple,Eclipse Proton,White,175.3g,MVP Disc Sports,,,,,
VOLT,VOLT_ECLIPSE_1737,"Volt - Color: orange-sparkle, Plastic: eclipse-proton, Rim Color: white, Scaled Weight: 173-7g",product-77-variation-5,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17371.png,https://hyzershop.com/wp-content/uploads/mvp-volt-eclipse-17371-150x150.png,,1,,,Orange Sparkle,Eclipse Proton,White,173.7g,MVP Disc Sports,,,,,
VOLT,VOLT_PROTON_1750,"Volt - Color: neon-green, Plastic: proton, Rim Color: black, Scaled Weight: 175-0g",product-77-variation-6,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17501.png,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17501-150x150.png,,1,,,Neon Green,Proton,Black,175.0g,MVP Disc Sports,,,,,
